case,n,status,D_m,q,covered,true_source_contained
90,5,bounded,16.275624720692587,1.0005417402439583,False,True
90,8,bounded,7.8788349941927285,1.0,True,True
90,12,bounded,1.8661046993362402,1.0001967705658978,False,True
91,2,bounded,74.65963821093997,1.0,True,True
91,3,bounded,19.309286993973924,1.020716485291315,False,True
91,5,bounded,18.4239987381513,1.0134554787028751,False,True
91,8,bounded,17.624659164490282,1.0000000000000082,True,True
91,12,bounded,14.038841166442378,1.0000000000000107,True,True
92,2,bounded,96.46255607672286,1.0000000000000007,True,True
92,3,bounded,32.351953098499045,1.000000000000003,True,True
92,5,bounded,16.002868926750686,1.0013730559450638,False,True
92,8,bounded,10.751393380060804,1.000282498289547,False,True
92,12,bounded,5.384226925634008,1.0,True,True
93,2,bounded,94.5698904665748,1.0000000000000004,True,True
93,3,bounded,52.3135995833139,1.000000000000004,True,True
93,5,bounded,7.314528293239756,1.0000000000000016,True,True
93,8,bounded,4.642992211802733,1.0000000000000027,True,True
93,12,bounded,4.039424160732675,1.0000000000000564,True,True
94,2,bounded,1577.9026554713655,1.0,True,True
94,3,bounded,31.079474501269576,1.0000000000000033,True,True
94,5,bounded,13.500212361490377,1.0294670403005148,False,True
94,8,bounded,12.488239913760777,1.0103457359838415,False,True
94,12,bounded,3.576010136740815,1.0,True,True
95,2,bounded,237.3130861428718,1.0,True,True
95,3,bounded,39.983060455626664,1.0,True,True
95,5,bounded,3.747234701017759,1.0000000000000075,True,True
95,8,bounded,3.362194955625888,1.002739611351075,False,True
95,12,bounded,2.5921044960175728,1.093297130292242,False,True
96,2,bounded,23.436691676772956,1.0000000000000098,True,True
96,3,bounded,18.564589932944862,1.000000000000012,True,True
96,5,bounded,13.124245242688778,1.0039767594910223,False,True
96,8,bounded,4.601038884588569,1.0203914447395621,False,True
96,12,bounded,4.601038884588804,1.0203914447395586,False,True
97,2,bounded,39.60762544766801,1.0000000000000056,True,True
97,3,bounded,23.848800737470818,1.0000000000000089,True,True
97,5,bounded,7.11513855803005,1.000000000000022,True,True
97,8,bounded,7.1151385580298925,1.0,True,True
97,12,bounded,6.879896979972231,1.000000000000009,True,True
98,2,bounded,326.610386992125,1.0,True,True
98,3,bounded,30.382440293390943,1.0000000000000027,True,True
98,5,bounded,11.546607478192739,1.0049690498458057,False,True
98,8,bounded,3.4010757920045926,1.039420662349078,False,True
98,12,bounded,3.10806716807907,1.0049690498458101,False,True
99,2,bounded,27.923290581055806,1.0000000000000007,True,True
99,3,bounded,10.6885906941804,1.0000000000000033,True,True
